database_id,sku,name,description,parent_id,colour_value,size_value,price,stock_status,stock_quantity,image_url,slug,product_type,weight,length,width,height,customiser_template,background_color,personalisation_options,material,product_style,corporate_category,sports_category,quality
20245,MH00009,"Garland 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,,instock,,https://trophymade.com/app/uploads/2023/04/MH00009-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,garland-1-club-logo-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20246,MH00009G,"Garland 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20245,Gold,,9.48,instock,1288,https://trophymade.com/app/uploads/2023/04/MH00009G-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,garland-1-club-logo-medal,variable,,,,1.75,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20247,MH00009S,"Garland 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20245,Silver,,9.48,instock,984,https://trophymade.com/app/uploads/2023/04/MH00009S.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,garland-1-club-logo-medal,variable,,,,1.75,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20248,MH00009AZ,"Garland 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20245,Bronze,,9.48,instock,1193,https://trophymade.com/app/uploads/2023/04/MH00009AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,garland-1-club-logo-medal,variable,,,,1.75,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20249,MH00010,"Banner 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,,instock,,https://trophymade.com/app/uploads/2023/04/MH00010-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,banner-1-club-logo-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20250,MH00010G,"Banner 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20249,Gold,,9.96,instock,2941,https://trophymade.com/app/uploads/2023/04/MH00010G-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,banner-1-club-logo-medal,variable,,,,1.75,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20251,MH00010S,"Banner 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20249,Silver,,9.96,instock,863,https://trophymade.com/app/uploads/2023/04/MH00010S-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,banner-1-club-logo-medal,variable,,,,1.75,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20252,MH00010AZ,"Banner 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20249,Bronze,,9.96,instock,1420,https://trophymade.com/app/uploads/2023/04/MH00010AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,banner-1-club-logo-medal,variable,,,,1.75,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20253,MH00011,"All Star 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,,instock,,https://trophymade.com/app/uploads/2023/04/MH00011-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,all-star-1-club-logo-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20254,MH00011AG,"All Star 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20253,Gold,,9.58,instock,6265,https://trophymade.com/app/uploads/2023/04/MH00011AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,all-star-1-club-logo-medal,variable,,,,1.875,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
